message,true_sentiment
Trump is a great President!!,positive
Division Politics 101 = make each fake side obsess with the other fake side,negative
howD from a Patriot 🇺🇸 in Texas🤠,neutral
Yemen is religiously extremist,neutral
trump is delusional everything he said has been a lie,negative
pro testing. then so is PROtrumping,neutral
we will get cheaper aluminum from Iceland. or the middle east. or .... Iowa,neutral
US-GAY,negative
"Are you working, at you r max",neutral
"Oz, Holdin'...",neutral
Boston does not smell like poop like nyc,positive
Lu the POOOOOOOO,neutral
hiya Kell,neutral
Christianity religion of sun the sun rises in the morning in the forehead the sun falls at night in the navel the sun from the left east to the right west worship me,positive
Peter you are wrong. America has about 260 billion barrels in reserve Canada has like 160 billion barrels,negative
@Common Sense Canada has 40% 0f the Worlds Fresh Water,positive
canadians global and national socialism is screwing you over.,negative
"The holy book of hindu religion , ""Bhagvad Geeta"" India is based on the war between Two brothers.",negative
trump continues to lie..,negative
"Yep', Happy'...x",positive
KAMALA FOR MENTAL ASYLUM 2028,neutral
"It Took Him All Day To Get His Nerve Up, And That's What He Came Up With..lol.. Are There Any Girls In Here? hahahahaha!",neutral
"ya, well arrest me...I am Protest...started 5 months ago...yesterday walking with my flag for my country and damn proud...is she???",negative
it's strange om still in the house im confused see it was not real,negative
Boston is still better than NYC and Boston is one of the richest cities in the US actually the top city,positive
Peter but you can't defend that water if someone else wants it so we let you have that,neutral
"Heya, Sweetpea! How's the climate here? (got here late)",neutral
@Common Sense Are you familiar with the Oil Sands??,neutral
boris get a hair style? friendly suggestion..lol jk,positive
Trump toute arabe love you no bla bla 🍁🎗️,positive
I don't buy it,neutral
Boston is Legit,neutral
@common sense Trump must be removed and replaced by President Zelensky immediately,neutral
china afraid of loising their gov over religion extremism,neutral
Boston has 💩 roads,neutral
is that accurate about Boston. seems no legit,negative
"imagine when April 2nd hits and Canada realizes that their economy depends on overcharging USA to sustain. They will freak out, then beg for help, while they boo our anthem and don't sell our products",negative
jeah,neutral
Peter I am and your sands are trash,negative
When It's just Not For Sale'...,neutral
they pulled out my oven,neutral
hootie and the blow up,neutral
SHUD I THROW BOLETTS ATTEAM,negative
yeah boston infrastructure F - -,positive
It's Spring Break For Elementary Kids Too,neutral
All it takes is a little research,neutral
L 3 Fallen 6 Angel 5 365 days around of sun ☀️ ljas Christ,positive
@Boris awesome lady,positive
0,neutral
"You can protest any country in the world and any people in the world EXCEPT...? The Chosen race. Bow you cattle goyim, clap like seals when I'm at Congress and call me ""Your Excellency'❗",positive
Trump continues to speak lies. everything he said he would do has come to pass with lies..told you so,negative
🧠=🐚,neutral
"Daniel what canada does to USA, USA will do to Canada",neutral
no i even make smalle talk with my new nabours,negative
For those who are trying to defend Canada.. Canada is not as irrelevant as they might seem or want.. they can't even defend themselves without us..,positive
Like Pom Dom'...x,positive
The decline of cities all across the country have a positive correlation with the increase of far left policies,positive
what are you guys want this place to look like fallout the game,positive
tristé,neutral
all praise to Hooties,positive
we ✡️ demand new roads,negative
@Common Sense So I am right.. Reserves vs Waiting Oils to be tapped dwarfs your estimates,neutral
"Canada we will remember how you guys treat our Country after all the help we give you constantly. you boo our national anthem, take our products off shelves, and go against us on world stage.",positive
top 5 richest citys,positive
boring boris,negative
Peter Google it,neutral
✡️666 жизнь Христа ⭕️ лжаса life of Christ ⭕️ ljas,neutral
is it the last person in the mirror i feel,neutral
Bo' Ris...,neutral
Our first woman President.,neutral
President of the US is....The Bib's❗,neutral
awaiting the names calling..,neutral
Bore-is,neutral
Blowris,neutral
Trump keeps winning,positive
Canada has concreted their own downfall by putting another left-wing terrorist in place for PM.,negative
"LORD JESUS CHRIST IS coming back soon. Give your life to JESUS today, before it is too late. John 14:6 says, “I AM The Way and The Truth and The Life. No one comes to the FATHER except through ME.",neutral
"NY, San Fran, LA, Chicago, Huston..",neutral
"Tulsi Gabbard credited the teachings of Lord Krishna in the Bhagavad Gita - holy book of hindu religion , as a source of strength and guidance in both challenging and triumphant moments",positive
If we Connected Alaska to Mainland America 🇺🇸 would be AWESOME 👌...,positive
Karen Trump Felon governor of Russia 🇷🇺 🙄,neutral
🇬🇧 made 🇺🇦 war,negative
"fair trade tax , item by item , no undercutting which destroys businesses and self reliance",negative
"Sure the roads are bad so is PA the roads suck that's cause of how old the states are, PA, Mass, are very historical states of the original 13 colonies",negative
Blowris hahaahahhahahha too funny 24/7,positive
"Mrs Macrons', a He, Perverting', MUCH'...???...",negative
✡️666 жизнь Христа ⭕️ лжаса Life of Christ ⭕️ ljas,neutral
Many Ukrainians are dying because of American betrayal.,negative
a bit of research for ya aye,neutral
The price of Greenland is going down in this month's spring sale.,neutral
Bright amen✝️,positive
ramdhan non mangé avec morte xx 🌈,neutral
a bunch of bots,neutral
make 🇬🇧 🇷🇺,neutral
Peter according to everyone on Earth but you America has way more oil,neutral
AMEN @BRIGHT ✝️👑🙌🏻,neutral
i dont feel older,neutral
"Canada don't need the US, can sell the oil abroad at a higher profit",positive
and U.k,neutral
"Tax Americans up to 100% if we have to and send ALL their money to us bcse we're chosen and you're not! Hee hee. As Geroge Carlin said ""It's a big club and you ain't in it' Hee hee❗",neutral
Betterer'...,neutral
ice took me out to lunch he was sweet,positive
the worst roads & highways in the world is in Louisiana!!!!,negative
🇨🇦,neutral
Not Islam. hindu Rishi Sunak also became the PM of The UK. He was also a devotee of Lord Krishna.,positive
"block bots, if you don't know if is a bot, ask it a question , it won't answer.",negative
if Canada n Greenland became 51st n 52nd STATES...,neutral
@Darkshadow I agree. We can stop dealing with each other now,positive
🤖,neutral
First day of Spring on Thursday. Feeling optimistic.,positive
"How much would it cost to buy Greenland, lower their grocery costs through imports, and make their nation prosperous?",positive
"Jesus, America and Trump! Thats all we care about",positive
"@Common Sense I live in Alberta,, Semantics versus reserves production vesus future reserves , Again I google it I am right . You must be smart enough to understand facts",negative
💕 LIVE PRESIDENT TRUMP,positive
do you live in Louisiana,neutral
Really cause from a 2024 study it just said Boston was the 2nd richest city,positive
Trump lies.depression economy downfall no Healthcare link card children hungary families✝️,negative
Cuba 53rd State,neutral
Ice is so handsome,positive
MARK 13:9,neutral
defend christians in mid east,neutral
They have us starving and do think they going to do something to Gaza.,negative
"Well, the number of bots have increased spreading their terroristic propaganda",negative
bravo 👏☪️🍁,neutral
"Lols', Bots', or Bad Manners'...???...",negative
James 1:12,neutral
"The USA hates the International Criminal Court and the UN, what do you have to hide?",negative
we jews want new roads for 🇺🇸,positive
"top 5 richest city's in order, ny,, San Fran, LA, Chicago, Huston.. Idk where you got Boston",positive
I've no issue with canada selling to any country. thats on them. USA can restore energy independence. and thats the goal.,positive
"TN roads suck major, each house pays a wheel tax, ours is $275 to go to schools and no kids in school. Not fair but it was voted in. Our school bite too",negative
KA-BOOM THE WHITE HOUSE,negative
Just look up Boston GPD per Capita,neutral
thirsty reporters,neutral
Defend Christians everywhere,neutral
👨🏻‍🦲🌈🪖 ICE IS H A N D S O M E,neutral
"We cannot end of the European colonizers are all over the planet week in a bit, if their children in the United States to✍🏻🗡️🩸🇮🇱🩸🐷🕎🐷🌋",negative
@Peter so you're saying Canada has more because we can't account for the unknown. lol come on you're smarter than that,positive
"Do you think they going to do with starving Palestine,they will do nothing.",negative
Bo' virus'...,neutral
so what tariff still stand today?,neutral
We don't care what the jews want. Trump baby 3rd term,negative
"Islam makes a terrorist.....But Hindu religion makes leaders....Rishi Sunka , Tulsi Gabbard... AlfredFord ,Ford's company owner.",negative
and the U.K. has given Russia more money than Ukraine since the start of the war.,negative
"Just admit it Tammy, the plan is to get them to any place on Earth except for their homeland. Greater Iz baby, from the Euphrates river to the Nile. Why? Duh, we're chosen and you're not! Hee hee❗",positive
🇬🇧 send us your nuclear submarines to take appart.,neutral
Peter if we guess really hard maybe Mexico has more oil,negative
no such thing as phallicstein,negative
I knew that couldn't be accurate just think of the other city's I name.,neutral
THE COLLECTIVE IS SUFFERING FOR BORISIS MISTAKES WE SEE,negative
tammie bruce? from FOX NEWS?,neutral
"I mean, it's worse than President Trumps last term.",negative
DEFUND THE NGO'S,neutral
FORT KNOX IS EMPTY,negative
I am king of hell,negative
Imagine dating someone you thought you were supposed to be scared of,negative
im not up to date,neutral
pffft,neutral
J.W.O,neutral
Too many lying Liberal reporters,negative
I am related to king David and I am American 🫡,neutral
borac boris's head is empty,negative
yall see all the fake gold comin out of london? headed to ny,negative
GIVE EVERY INCH OF GAZA TO ISRAEL,neutral
I am king of heaven,positive
colonization improved countries but they want independence like the Usa did,positive
@Common Sense It is not an unknown Commodity It has much more potential for Extraction and production.. Please do not insult yourself with stupid comments,negative
WHERE IS KAROLINE?,neutral
"#WalkAway I'm so glad I left the Democratic party in 2016, my oh my what it has become doesn't even resemble the Democratic party anymore.",positive
AMERICA MAGA FIRST 🇺🇲 PERIOD! THE REST OF THE WORLD -DEAL WITH IT YOU JEALOUS MFS,negative
Delete Gaza give it to me,neutral
she** and it is because she had images in her phone supporting Hezbollah AND they couldn't determine her true intentions being in America,positive
Sasketchewan has more oil than US and Saudi Arabia combined and its just sitting there locked up,neutral
SO YOU'RE SAYING THAT YOU SUPPORT WARS,negative
So proud of Conor McGregor today ☘️🇮🇪☘️🇮🇪☘️🇮🇪🇮🇪☘️🇮🇪☘️🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊,positive
shes the first lesbian on trumps team,neutral
had Trump visited fort knox yet?,neutral
hungary families Healthcare taken away link card to feed children.. your sick Eelon and trump..you could care less bcz your billionaires 1% of you to 99% in need,neutral
Knock Know'...We'll just show You Kentucky's Stash'...???...,neutral
⚖🌏💅,neutral
🇺🇸 1st,neutral
Karoline already spoke,neutral
"@Heavywater the only one I know of as this morning, 200% on alcohol but I'm not up on it. April 2nd like tariff for like tariff anything else bounces around too much",positive
go seize it yourself,neutral
Where is Karoline?,neutral
Peter you're lying or just wrong. Didn't jlp tell you thats satan stuff?,negative
"All the governments,they only want power and the civilians,they don’t care.",negative
"Tammy, admit that's the same goal for Ukraine. It's called something different 'Heavenly Jerusalem'. The campaign (both sides are in on it) is to get rid of the ukrainian gentiles & then rebuild❗",negative
OVER,neutral
MAGGOTS,neutral
oh ok thanks,positive
Please take Belfast dont forget us ☘️☘️☘️☘️☘️☘️☘️☘️☘️☘️☘️,positive
💨:face-fuchsia-tongue-out:,neutral
"oil is the most common,,,its under all oceans on every continent",neutral
Where are the Naturally Cooperative women in America??,neutral
the story of A war between Two brothers...holy book of hindu religion .... One brother snatches everything from another brother by doing wrong things....and Lord Krisha's entry in the war....,negative
🇺🇸 is a destiny not a nation,neutral
JOEL IS JELLY:face-green-smiling:,neutral
"@Gary K She already spoke, but can find the full recorded version elsewhere",neutral
I'm going to bed.,neutral
@JEC C It is accurate and I said it was ONE of the richest cities not the richest city. You clearly know nothing about it's history and the 80s boom on wall Street making Boston very wealthy,positive
First crime rate,negative
Mada not maga...making Americans depressed again,negative
"Honestly, I'm pissed with...the lack of trust",negative
With the butter on the toast it's very rewarding,positive
@Common Sense Old Sands have been in Oil Production for 60 years. More Investment more oil like all of the Industry,positive
"WENT TO THE SUPER MARKET, ONE EGG 7$ 🥚🥚🥚 MY SALARY 120k I CANNOT AFFORD IT, THANKS TRUMP 🥚🚫",negative
"say no to blanket wide tarrifs , use item by item , to prevent undercutting , and fairness",negative
Team Trump 💔💔💔💔💔💔💔Team Conor McGregor☘️☘️☘️☘️,positive
well. I named the top 5.. lol,positive
Replace the First letter with a F and that's you Joel Brody,neutral
nashville is a cute place,positive
Sound Peobl3m,neutral
USA! USA! USA!,neutral
I'm thinking we don't have any on India right now and they produce a lot of things for the US. I wonder if we will shift there more.,neutral
ya thanks trump!,positive
"Ashville WAS a ""Cute"" place...",positive
"EGGS 🥚 30-40$ A DOZEN, RIP USA",negative
All I wanna do uh zooma zoom zooom zoom and uh...,neutral
"destiny nation sounds better, destiny nation= destination that all wantto be at",positive
top 5 seems like the richest city's. don't go to Symantecs cuz I was accurate,positive
Peter you're just wrong. Who produces more oil the u.s. or canada,negative
i feel stupid buying eggs : {,negative
Katherine Buchanan that is my catch phrase you owe me money for using it 😤 😒 😑,neutral
"Inversion, deceipt, lies, scapegoating, gaslighting, diversion, subversion and false flags. These are their tools of the trade.❗",negative
HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS,negative
It’s called a reciprocal tariff whatever they tariff us tariff them. Sounds fair to me.,positive
I understand you!!,neutral
Yes live Desi USA with the People not without People.,positive
"Not really meltt, but ok",positive
no Healthcare no link card thanks trump elon,negative
President Trump Trump Trump Trump Trump 💪🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,neutral
UKRAINE HAS CHEAP EGGS,neutral
Chicago 🟥 NYC🟦 TEXAS 🟦 CALIFORNIA 🟥 NORTH CAROLINA 🟥 ILLINOIS 🟥 everyone else besides that has to be blue 🟦💎,neutral
"why ""was""?",neutral
"make a forever coin at the mint ,. increases with inflation , retains value",positive
"@Philipp always about the eggs..... in the winter the chickens will not lay unless under light, they are now out there producing eggs..... egg prices going down",neutral
What about anti-gentilism?!!! Don't be anti-gentilic!!!❗,neutral
I mean I cannot trust myselfe anymore... paying $30 for eggs😬,negative
Jelly over butter is great,positive
"@boris, which type of eggs?",neutral
lol phillip maybe some woke cities. I'm paying 2.99 q doz and its still dropping. w Washington,positive
Trump takes Healthcare away from families,negative
The borders are there to be violated of course...🐚,negative
go to prison illegal criminals,negative
HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS?,negative
Does anyone here have Express Scripts? My prescription prices juat doubles for my patient pay. blaaahhh,negative
CRIES:face-pink-tears:LIES -CRIES:face-pink-tears:AND LIES,negative
The story of The war between two brothers in holy book of hindu religion..... two brothers mean...Protestant Christian vs Orthdox Christian......Shia vs Sunni muslim....,negative
I am ready to pay more for eggs if Trump gets a 3rd term,positive
@Common Sense Point was Reserves in Canada vs depleting US reserves,neutral
孵卵 to hatch eggs,neutral
"@JEC C No you're wrong it's that simple, Boston IS one of the richest, simple research will show you, top 5 is vague, You just said Top 5. was it Top 5 right now? Of all time? om",positive
what chickens live inside?,neutral
strong America!,positive
REVELATION 2:9 and 3:9,neutral
Camels would do well in California huh huh HUH,positive
What does de-nazification of Ukraine mean?,neutral
"We have our own small chicken coop, so other than food and water. free eggs....",positive
Peter but you're wrong in your stance either way,negative
@reds chicken eggs,neutral
ha,neutral
Chick eggs lol 😆,positive
Texas Better,positive
Canada is owned entirely by the world economic forum new president same strings,neutral
"12 eggs @6.79, i like my stock",positive
i atill never watched THE MATRIX movie,neutral
Trump for prison! stock market crashing bcz of tarrifs,negative
BS; HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS ??,negative
this spokesperson is very clear and articulate and calm,positive
Glupij,neutral
@David Calvelage Butter toast and bacon is great.,positive
@Common Sense Reserves are different from production.. Right,neutral
Fuel in PA was 3.09 yesterday,neutral
Peter make this easy tell me how much oil Canada has in reserve,negative
Biden had chickens destroyed over bird flu issue. it takes 29 days for eggs ro hatch and around 5 mo to have those hatchlings lay eggs. stop freaking out lolol,negative
she is smarter then they are.obvs,positive
Camels in Texas,neutral
I cannot pay $30 for eggs anymore!! we need CHANGE!!!,negative
Our voices doesn’t count.,neutral
Bhagvad Geeta is the great book.....US spy chief Tulsi Gabbard learned from holy book Bhagvad geeta.,positive
worship me,positive
don't speak ..thats better,negative
BS; HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS???,negative
30 for eggs? 😂 I got 24 eggs for 10 bucks,positive
ROAR,neutral
jk I don't do my own dishes,positive
Does Chicken have the 3rd type too?,neutral
"BRO, SANDING CANT MAKE BABIES🧐🧐🧐🧐",neutral
ROAR. 🦁,neutral
Are the Ukrainian military all anti-semitic? How does that make sense when Zelenskyy is the President & I havn't heard of any J's out of the 2 million unalived in the Ukraine war. Someone help me?,negative
"Yeah eggs and gas are down where I live. But idc about that, i want all inflation to go down.",positive
David a Big Man,neutral
Peter give me the exact amount of oil in reserve for Canada,neutral
Screw Ukraine!,negative
"I have dinner to start so have a fabulous day all, be it you are American, Canadian, etc etc Have a very fabulous day!!!!",positive
it's crazy in USA right now! cannot afford eggs... I mean wtf!,negative
🇺🇦🇺🇦🇺🇦🇺🇦,neutral
Dr. Sturgis!,neutral
Marcos way.,neutral
i dont even worship more so people that are harmless🎲🎲,negative
🦁 ROAR.,neutral
Leave that blue dump district 9 now @Philipp before it's too late,negative
MK your great take care,positive
ZOG,neutral
DO YOU BELEVE IN AMMORTALITY?,neutral
Have a Great Dinner 🍽,positive
really? well see sboutvthat,positive
"Eggs are $4.50 a dozen, what's the problem?",negative
daddy's home 😘😘😘,positive
I worship chickens soon.........,positive
@Phillip If you can't afford eggs that's a you problem,negative
lucifor and trump to jail✝️✝️🗽🗽🗽,positive
China has biggest economy in the world,neutral
"1+1=2, Right?",neutral
a LOT of countries are gonna wake up on April 2nd and have to acknowledge how bad they treat the USA for all these years when we charge them all the same they charge us. Fairness incoming.,negative
"and if you're red in nyc, get out",neutral
scott thats weak..,negative
"As former Minister of Israel, Shulamit Aloni said on Democracy Now regarding anti-Semitism, ‘It’s a trick; we always use it whenever someone criticizes anything Israel does.‼",negative
No eggs ? eat something else.. Duh,negative
who can afford $30 eggs??,neutral
right...,neutral
Whppersnaper punk,neutral
"Scott, who's Lucifor?",neutral
I think the other prices of things besides eggs and oil are here to stay. It's our new normal and we won't see deflation. I'm just praying not another event will lightning speed inflation again.,positive
Griping this much should I get a different job,neutral
beans beans the magical fruit,neutral
WHAT is your mission?,neutral
I SUPPOSE SALT MIGHT NEED PEPPER TO COMPLETE THE MEEL,neutral
"In Europe, if you criticize Israel, we call you a holocaust denier.’ Hee hee",negative
own 3 chicken never pay for eggs again let them eat bugs not corn,positive
@Philipp Eggs aren't 30 bucks wtf are you smoking,positive
There's plenty of other food to eat,neutral
hapy st pattys day,neutral
Phillip how much are eggs where you are ?,neutral
R 🦁 AR,neutral
The REDS are taking over NYC huh huh huh that's cool huh huh,positive
my mission baptism,neutral
BS; HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS,negative
China is strongest country in the world,positive
i just took a dump on my neighbor's yard,negative
ty Tammy,positive
Last time I checked it went USA #1 Germany #2 Japan #3 regarding economy Boris duh,neutral
I'm pissed,negative
I checked again. too. didn't see Boston mass even in the top 10....lol meh,negative
Philip that would be the people who can afford alcohol that would be a people who can afford cigarettes that would be the people who can afford Vapes etcetera or whatever else you're addicted to..,neutral
they just made the eggs scarce and that's why it's temporarily inflated,neutral
"“Religion is regarded by the common people as true, by the wise as false, and by rulers as useful.” — Seneca‼",positive
"@Boris, Not china. Wait till our printing presses become hyper active...",positive
"@Common Sense OILR RERVES =4 Sources confirm ,UNITED STATE 44,5 BILLION BARRELS OF OIL CANADA 178 BILLION BARRELS OF OIL",neutral
phillip deternined to atay a fool. no sense just blabber. he ain't paying 30 a dozen eggs. faker,negative
"eggs went up with Biden just like EVERYTHING else but people act like it's Trump's fault. While this was happening, Biden's regime was trying to make Trump a felon. get outta here with that delusion.",positive
Les traités et les conventions sont là pour être violés bien sûr...🐩,neutral
"nobody can if you wondered..... nobody can pay $30 for eggs, we are litteraly f'ed",negative
I'm not,neutral
Blessed be your thimble collection,positive
Maybe a dog will step in it,neutral
uh oh Pentagon...,neutral
@Ben G FAKE NEWS,negative
sure but what are the Republicans done to make things better around you dude,neutral
that Phillip BOT is still at it ?,neutral
The treaties and the conventions are there to be violated of course...🐩,negative
Amazon has eggs today only 1.99 a dozen,positive
"HIndus don't use toilets, is that true?",positive
Get help @Philipp ...you obviously can't make it on your own,negative
he should put tarrifs on eggs.....,neutral
There's a park for a bank but is there pillars made of ivory,neutral
R🦁AR!,neutral
@reds China would crush US-GAY,negative
resign Biden...to much uncertainty with trump!! inflation and wars..please supply Ukraine!,negative
can't you hippies buy some chickens and lay your own eggs?,neutral
Leo lightning poo is organic fertilizer,neutral
"@Common Sense OIL RESERVES"""" U.S 44,1 BILLION BARRELS . CANADA 178 BILLION BARELS",neutral
Will egg prices be a mirror,neutral
Peter the u.s. has 264 billion barrels of recoverable oil. Canada has 164 billion in recoverable reserves,neutral
Hi Karoline thanks for your excellent reporting as White House press secretary. Unfortunately most of those reporters or journalists are so dumb and stupid same as their ask questions.,negative
"Ford company owner - Alfred Brush Ford also became a devotee of Lord Krishna.... he donated a $30 million to Iskon trust , which is the constructing a big temple of Lord Krishna in India.",positive
"get a damn chicken phillip. they eat food scraps. handle your issue like a,man philipp. youre grown",negative
@JEC J You're clearly lying but okay 👍. I'm looking at the info right now.,positive
we need to ship in some birds to increase the supply again I thought they were getting new birds from Europe?,positive
I dig this music,neutral
"it's crazy out here, fugged country... $30 eggs.... wtf we doing...",negative
Thank CHINA for the price of eggs,positive
"believe it or not, egg prices have gone down in most areas...also, there is countless other food you can eat in the meantime if it hasn't gone down yet where you live. Yall act like eggs are water.",positive
Intelligence versus stupidity is an eternal battle,negative
Maybe you could apply for the retread status at SS @Philipp maybe you can get stae eggs,neutral
"@Lee HMM, MAYBE BABY?!/-…%=&",neutral
Alfred Brush Ford's new hindu name is Ambarish Das.,neutral
"@Common Sense i GOGLER 4 SOURCES YOU ARE WRONG,, SIMPLE",negative
hens are actually cute frriendly cuddle pets,positive
Peter that is wrong.,negative
Somalis also have a strange traditional toileting..lol,negative
some of us are making wiser choices Philip apparently you're not.. makes me wonder what your addiction is..l,negative
Bernie Sanders for president! immediatley!🗽🗽🕊💕,positive
The dog got into the chicken coop,neutral
Peta!,neutral
🇨🇳 BUY CHINESE 🇨🇳,neutral
shall I post the top ten next,positive
how should I pay for chickens?? my money gone cause I wanted egg breakfast......,negative
Idk what country you're talking about I get 24 eggs for 9-10 bucks,negative
democrats toilets flush the wrong way around the bowel huh huh,negative
Peter you are wrong,negative
A country that is only 250 years old is still in the Middle Ages.,neutral
Sorry about that,negative
🗿,neutral
"Please amigos, do not deport me 🙏🏻",positive
It's a jumper.,neutral
I am 🌍,neutral
My g🦁d is a lion.,neutral
People suddenly acting like they live off an eggs only diet. they drink the yolk and eat the shells too.,negative
eggs used to be the cheapest protein so that's why this is weird these prices,negative
"lucky you, but think about your country members....",positive
more than likely throw up you spend your money on cigarettes or alcohol.. make wiser choices use your money to buy a chicken or buy eggs..,negative
"Trump loves us all, he thinks about us every minute of the day. Elon is just the icing on the Trump Cake. Lets eat guys!",positive
1 egg = 1 chicken. 1 chicken = 12 eggs. 12 eggs = 12 more chickens. 12 more chickens = 1 billion eggs,neutral
😆🔪,positive
Carney and Starmer snorting carbon credits,positive
I buy eggs on temu,neutral
who names a kid phil??? huh huh huh,neutral
look at those 2 crooks,negative
I JUST MADE THE BIGGEST OMELET I'VE EVER HAD 💪💪💪💪💪 EGGS 4 DAYS 👍,neutral
The logical words Common Sense and Transparency!!! Get it? Some of you illiterate and ignorant journalists. You don't do your job right...,negative
Farfechko impossible*bump*,neutral
"Canada ain't goin' anywhere without America holding their damn hand, lol!",positive
unlimited eggs!!! if it was that easy everbody would do it...🫡,positive
Egg prices aren't weird. That's what happens when you kill off over a million laying chickens. 🤷🏽‍♂️,negative
"A big temple of Lord Krishna is being constrcuted in India which costs Rs. 500 crore. Alfred Brush Ford, who is the chairman of the $100M project donated $ 30 million to Iskon Trust in India..",positive
"Peter America, Russia, and Saudi Arabia have more oil in reserve than Canada",neutral
Temu eggs have no Yolk,negative
Eggs are down here,neutral
El Salvador must send the gang members back to USA immediately,neutral
LONG LIVE KING TRUMP,neutral
no dictatorship trump! democracy Supreme court rules with our Constitution!! our forefathers!1776 you took a oath with only president in history✝️🗽🗽🗽 without your hand on the bible!,positive
temo eggs come from humans... it's china..........,neutral
Eggs are free here 🗼🟦,positive
my question is are you useful,positive
I don't want to raise chickens but I'm doing a garden. I've already put my seed in their germination pods and trays.,neutral
"@Common Sense You just proved you can't argue facts with a Liar of poorly educated person.ADVICE .. GET SMARTER ,, HAVE A NICE DAY",positive
I will have to poo before the day is over,neutral
I just made a 3 egg ham and cheese omelette with 3 of the biggest jumbo eggs I ever had. Bought 18 pack at walmart for 3.50,neutral
trump is mossad,neutral
"OH NO, I DONT HAVE EGGS, WHAT WILL I DO? I ONLY DRINK EGG YOLK AND EVEN EAT THE SHELL. I'm gonna die!",negative
lol johnny add deviled eggs,positive
"@Live Desi Style Reactio, stop your sermons pls.",negative
❤️ ❤️ ❤️,neutral
"chickens grow fast, wash your hands",neutral
yall mfers prolly don't even eat eggs. just complaining about nothing.,negative
Hottie Soldier Girl with rhat cargo net,neutral
If you can talk like a bard then you can have farms run okay,positive
Putin gets the eastern part no matter what.,neutral
"Peter America has 264 billion, Russia has 254, Saudi Arabia has over 200. Canada has 164 billion",neutral
FREE EGGS IN ILLINOIS 🗼🗿🥂🟥 FREE EGGS 🟦,positive
ru useful,positive
NAYIB BUKELE is actually waiting on another couple plains now 💪💪💪 thanks EL SALVADOR,positive
I get my eggs right from the Robin's nest,neutral
Did P Trump declare war on Houthis or not yes or no,negative
lol @Daniel,positive
"JEC, exactly",neutral
@reds Don't feel jealous....,positive
"If you are not with international justice, you are against it.",negative
"Zelensky is awesome, US must send him billions more",positive
farmers markets has em for the low,negative
Peter you are Canadian so it doesn't matter anyway,negative
Pentagon time...,neutral
Trump is sickening,negative
Remember when Biden was mentally ill is alway mentally ill me,negative
hell free coffee at the store and shyt,negative
isn't Ukraine incredibly corrupt,neutral
who this man think he is,neutral
"Robert, people will always find a way to complain about things no matter how small the issue is",negative
Any film released on the ari-strikes against the Hootie?,neutral
hello let's Go 🇺🇸🤝🇷🇺😎👍,positive
robin eggs are delicious,positive
Tell us about your Peace Prize,positive
"Jay why do you care, your an alein..",positive
"2 Thessalonians 2:3 Let no man deceive you by any means, for that Day shall not come, unless there come a falling away first, and that man of sin be revealed, the son of perdition,",negative
boycott rogueusa lng crude ag beef liquor aircraft,negative
"Heck yeah Johnny (Also hello fellow deadhead, grateful Dead is cool)",positive
"@reds It is not you.......It was Alfred Brush Ford, who is the chairman of the $100M project , who donated $ 30 million to The Iskon trust which is constructing a big temple of Lord Krisna in India.",positive
UKRAINE IS Corrupt & EXTREMELY RACIST,negative
Hunter Biden for president,neutral
peace is on a thread,positive
"Wish we could have a day without tRump and his circus opening their mouths, and spreading lies and propaganda",negative
"@JEC C They were in bed with the Bidens, should tell you all you need to know.",neutral
do you guys think Trump will live the next 4 years for his entire term? I don't,neutral
Is it a secret just tell us if were at war w Houthis and if they are considered foreign enemy,negative
my name is beautiful,positive
the right is based not woke what is right woke,neutral
they won't show it here,neutral
We can discuss how union labor makes some amazing cars. This is a great part of America.,positive
"My neighbor saw me working in my yard yesterday...asked me to help him lift something...(I remmebred he is a dem), (looking at him) I said ""Butthead isn't available right now, goodbye"". huh huh",positive
that dude on fox..his head is bigger than his body,neutral
Trump is Killing children directly now,negative
Ukraine you mean Russia money laundering money to X no wonder Elon musk pushing Russian propaganda stop listening to Elon musk and Donald trump lies,negative
"constitution , Supreme courts rules our constitution not you trump your not our law. democracy over dictatorship🗽🇺🇲🕊💕",positive
💪💪💪💪 STAY FLEXIN ON'EM,neutral
if you squeeze the chicken eggs come out faster,neutral
rogueusa<------isolate tariff boycott cut all ties,negative
my name from sun is sun,neutral
we will be ok just have to not rely on anyone else especially the government they aren't there to save anyone. Just start little and prep what you can if while you have an income. It's not a bad idea.,positive
the fox dude has gay face,neutral
why did Thomas crooks miss,negative
Just say no to Canada,negative
People wanna defend Ukraine and call whites in America as the problem and all racist....umm...do you know Ukraine?,negative
Im the expert of the middle east and defense talks.,positive
