message,vader_sentiment,textblob_sentiment,final_sentiment
I like Russia more than Canada,positive,neutral,positive
what kind of people use military force to steal the sovereignty and resources of other Trump is the a thief,negative,positive,negative
Imagine if we all got together and agreed on things every once in a while. Imagine if Republicans acted the way Democrats are acting during tbr last 4 years when Dems ruled things.,positive,neutral,positive
Why Scott?,neutral,neutral,neutral
Trump for 3rd tearm,neutral,neutral,neutral
Bunch of bots in her badmouthing Trump. Was it the same when Biden was in office? LOL...,positive,positive,positive
imagine! vote responsibly,neutral,positive,positive
"Good's Ascendant', Timer TWIT'...???...",neutral,neutral,neutral
I see alot of ppl who have no clue what they are talking about. it's hilarious,positive,positive,positive
well that doesn't surprise me,positive,neutral,positive
ILL LOKE RUSSIA MORE THAN CANADA ALSO,negative,negative,negative
Ukraine war things were quiet,negative,neutral,negative
They are all depressed children,negative,neutral,negative
this lady needs to take her self home and bake some cookies,neutral,neutral,neutral
Why the two mics and latency?,neutral,neutral,neutral
1 John 2:12-16 love not the Earth,positive,positive,positive
@Common Sense THAT IS BECAUSE RUSSIANS PAY YOU,negative,neutral,negative
hi 👋 I am from Syria,positive,neutral,positive
yes TY,positive,neutral,positive
This wannabe man again? BLEECH!,neutral,neutral,neutral
When did the inflation start Scott?,neutral,neutral,neutral
"Go trump Go, we love you",positive,positive,positive
AND CANADIANS ROB US,negative,neutral,negative
Scott needs a nap 😴,neutral,neutral,neutral
Peter what value do Canadians have. This is something compared to a zero,positive,neutral,positive
Hello Syria. From PA USA 🇺🇲,neutral,neutral,neutral
Mada Is making American depressed again..thanks musk trump for inflAtion🗽🗽🕊,positive,neutral,positive
@Flash Inthepan THAT IS BECAUSE YOUR A RUSIAN TROLL,neutral,neutral,neutral
most brainrot guy = trump,neutral,neutral,neutral
pourquoi canada belle country,neutral,neutral,neutral
Reps will now start replacing their pets with hens/chickens in their homes.,neutral,neutral,neutral
our monetary system will fail if we don't do something quick. failing businesses don't keep spending,negative,negative,negative
Assassins land?! No nothanks,negative,neutral,negative
"in 2020 , Tulsi Gabbard connected with Hindu religion and became a devotee of Lord Krishan. She read the Indain holy book - Bhagvad Gita....and learned a lot of things from that book.",positive,neutral,positive
@JEC C Can you elaborate,neutral,positive,positive
I'm an old man. Trump is the greatest president of my lifetime. Glad I lived long enough to see it.,positive,positive,positive
Trump has a brain??,neutral,neutral,neutral
Juice.,neutral,neutral,neutral
"Since Bibi 'His Excellency' funded Hamas to the tune of $30 Milion per month between 2014-2025, will America deport him if he lands on our soil?!!!!‼",positive,neutral,positive
it's not our job to rebuild Syria.. nor is it hard drive to rebuild Gaza.. but. I would help fund Gaza before I would fund Syria,positive,negative,negative
Shifting Paradigms'...X,neutral,neutral,neutral
see my last comment,neutral,neutral,neutral
Democrats banned pets and livestock.,negative,neutral,negative
L-ucifer Fallen Angel 365 Λ-юцифер Падший Ангел 365 days around of sun ☀️ ljas Christ,negative,neutral,negative
Yemen is a cosplay country. level it,neutral,neutral,neutral
Maga 🎉🎉🎉,positive,neutral,positive
hahah,neutral,neutral,neutral
I'm going to bed,neutral,neutral,neutral
STUCK IN A PARTISAN LOOP,negative,neutral,negative
@Common Sense Lowest Debt to GDP Ration in the G-7.,negative,neutral,negative
"Scott, did you really just blame Trump and Republicans for inflation?????? lol you're a great example on how delusional the other side is.",positive,positive,positive
"I am the latest blood of King Rolo, Viking of Scandinavia encompassing present-day Denmark, Norway, and Sweden. 🟦",neutral,positive,positive
Go Trump Go!,neutral,neutral,neutral
@Paul Lefort Night night lol,positive,positive,positive
Legalize pets and livestock.,neutral,neutral,neutral
"MAGA POWER IS UNSTOPPABLE, HAHAHA!!!!",positive,positive,positive
Maga all day everyday till we die,negative,negative,negative
maga changed to Mada..I'm making hats with elon cuts..make America depressed again..sad,negative,neutral,negative
Peter that has no value to anyone.,negative,neutral,negative
всем привет . hi everybody. welcome to Russia. we 'll show you how we are friendly.,positive,positive,positive
@JEC C So your solution is just simply stop spending 😭 Glad you aren't in charge.,positive,positive,positive
no country for old me I remember you from the other day,negative,positive,negative
@Common Sense Canada has the largest oil reserves in the World,neutral,neutral,neutral
M A G A,neutral,neutral,neutral
shift...how ironic...really,neutral,neutral,neutral
more like day day,positive,neutral,positive
Trump sans mafia nothing,neutral,neutral,neutral
Yes Trump please go,positive,neutral,positive
Oh no it's the Hootis maballah bama scoobydo hallah malaah BAAALLAAHHHH,negative,neutral,negative
no one buys in a climb.,negative,neutral,negative
Kamala 2028,neutral,neutral,neutral
"Trump took a bulet for us , Biden took ice cream",neutral,neutral,neutral
Powderize Sana'a now,neutral,neutral,neutral
communist marxists and National Socialists and Anarchists atopped separate parties to join Democrat party and the results are in our faces. demolition of native function,positive,neutral,positive
funny ruskie block you,neutral,positive,positive
Darwin again darkness messianism,negative,neutral,negative
US-GAY US-GAY US-GAY US-GAY,neutral,neutral,neutral
No more Soft Belly Fish'...,negative,positive,negative
MAGA all day. Don't care even if the president is a criminal. We love him!,negative,positive,negative
@Common Sense Canada has 75% of the words potash,neutral,neutral,neutral
YESH EE SHOULD GO TAKE CANADAS OIL,neutral,neutral,neutral
Peter no the United States has about 100 billion more barrels. You're wrong,negative,negative,negative
I mean it's not that simple. broadly speaking this is what's happening tho,neutral,negative,negative
@oceanbreze LOL will have to rem that one,positive,positive,positive
Go Trump,neutral,neutral,neutral
I Want a Cooperative Woman in my life...,positive,neutral,positive
Prime minister Trump,neutral,neutral,neutral
WOOHOO MAGA BABY ROCKS,positive,neutral,positive
"Today , Tulsi Gabbard is spy chief of the US and spoke about spoke about her spiritual connection with Bhagvad Geeta book - holy book of HIndu religion , India.",neutral,neutral,neutral
Democrat psychos are just upset that were getting rid of all their illegal future voters and never allowing ourselves to suffer through these last 4 years ever again,negative,negative,negative
"ginseng the Economist magazine cover or super bowl halftime show lol.. they MOCK u (alarm ""Annuit Coeptis"")",positive,positive,positive
For gawd sakes REVOKE THEM!,neutral,neutral,neutral
hii any girl here ???,neutral,neutral,neutral
NEED PRISON REFORM🍀,negative,neutral,negative
we in Canada are rich with ressources and we and only we will decide of the future of our ressources...and...ya,positive,positive,positive
who the bloody hell is Peter,negative,negative,negative
Peter you are wrong and Google will prove it for you,negative,negative,negative
Yeah,positive,neutral,positive
Russia may be capitalist now but they still have the soviet power structure gay,neutral,positive,positive
ooops the sheep unlighted,neutral,neutral,neutral
Trump to jail .cannot trust a felon..as we see on day1,negative,negative,negative
Mishara you are the only girl here,neutral,neutral,neutral
"Boris', Much Happier', thankyou'...???...x",positive,positive,positive
F CANADA..LIL RED HEADED STEP CHILD NEEDS A SPENKING,neutral,neutral,neutral
Christianity religion of sun the sun rises in the morning in the forehead the sun falls at night in the navel the sun from the left east to the right west,neutral,positive,positive
we have to stop spending fed money on bs. we are on the right path. so yes I'm correct,positive,positive,positive
I like Trump!,positive,neutral,positive
hey 🇮🇱 make England Pakistan again,neutral,neutral,neutral
Peter go ask Google who has more oil America or Canada,neutral,neutral,neutral
kevin..lol,neutral,neutral,neutral
GO Trump GO!,neutral,neutral,neutral
Do they have blowfish in Yemen? Do the Houthis like blowfish? Houthi & the blowfish‼,positive,neutral,positive
Protesting is against the law lol,neutral,positive,positive
"Trump, Yes Daddy Please",positive,neutral,positive
"LaWee, go for it. we need nothing from you guys. we will decide if we want to buy your overpriced products or if we let your economy completely fail by getting it cheaper elsewhere.",negative,negative,negative
I gotta tinkle,neutral,neutral,neutral
Alaska has same resources as Canada re oil gold rare earth minerals,neutral,positive,positive
so im 57 now💋,positive,neutral,positive
Deputy Barney Trump,neutral,neutral,neutral
@Common Sense no I am right The Oil Sands in Canada are the biggest deposits of oil in the World . Dwarfs America depleting reserves,negative,positive,negative
"yes yes, talibans, Kim Jung, Netanyahu and Putin are the new best friend of USA",positive,positive,positive
"Boston'...Shithole',too'...???...x",neutral,neutral,neutral
Trump is a great President!!,positive,positive,positive
Division Politics 101 = make each fake side obsess with the other fake side,negative,negative,negative
howD from a Patriot 🇺🇸 in Texas🤠,neutral,neutral,neutral
Yemen is religiously extremist,neutral,neutral,neutral
trump is delusional everything he said has been a lie,neutral,neutral,neutral
pro testing. then so is PROtrumping,neutral,neutral,neutral
we will get cheaper aluminum from Iceland. or the middle east. or .... Iowa,neutral,neutral,neutral
US-GAY,neutral,neutral,neutral
"Are you working, at you r max",neutral,neutral,neutral
"Oz, Holdin'...",neutral,neutral,neutral
Boston does not smell like poop like nyc,positive,neutral,positive
Lu the POOOOOOOO,neutral,neutral,neutral
hiya Kell,neutral,neutral,neutral
Christianity religion of sun the sun rises in the morning in the forehead the sun falls at night in the navel the sun from the left east to the right west worship me,positive,positive,positive
Peter you are wrong. America has about 260 billion barrels in reserve Canada has like 160 billion barrels,negative,negative,negative
@Common Sense Canada has 40% 0f the Worlds Fresh Water,positive,positive,positive
canadians global and national socialism is screwing you over.,negative,neutral,negative
"The holy book of hindu religion , ""Bhagvad Geeta"" India is based on the war between Two brothers.",negative,neutral,negative
trump continues to lie..,neutral,neutral,neutral
"Yep', Happy'...x",positive,neutral,positive
KAMALA FOR MENTAL ASYLUM 2028,neutral,negative,negative
"It Took Him All Day To Get His Nerve Up, And That's What He Came Up With..lol.. Are There Any Girls In Here? hahahahaha!",neutral,positive,positive
"ya, well arrest me...I am Protest...started 5 months ago...yesterday walking with my flag for my country and damn proud...is she???",negative,negative,negative
it's strange om still in the house im confused see it was not real,negative,negative,negative
Boston is still better than NYC and Boston is one of the richest cities in the US actually the top city,positive,positive,positive
Peter but you can't defend that water if someone else wants it so we let you have that,neutral,positive,positive
"Heya, Sweetpea! How's the climate here? (got here late)",neutral,negative,negative
@Common Sense Are you familiar with the Oil Sands??,neutral,positive,positive
boris get a hair style? friendly suggestion..lol jk,positive,positive,positive
Trump toute arabe love you no bla bla 🍁🎗️,positive,positive,positive
I don't buy it,neutral,neutral,neutral
Boston is Legit,neutral,neutral,neutral
@common sense Trump must be removed and replaced by President Zelensky immediately,neutral,neutral,neutral
china afraid of loising their gov over religion extremism,neutral,negative,negative
Boston has 💩 roads,neutral,neutral,neutral
is that accurate about Boston. seems no legit,negative,positive,negative
"imagine when April 2nd hits and Canada realizes that their economy depends on overcharging USA to sustain. They will freak out, then beg for help, while they boo our anthem and don't sell our products",negative,neutral,negative
jeah,neutral,neutral,neutral
Peter I am and your sands are trash,neutral,neutral,neutral
When It's just Not For Sale'...,neutral,neutral,neutral
they pulled out my oven,neutral,neutral,neutral
hootie and the blow up,neutral,neutral,neutral
SHUD I THROW BOLETTS ATTEAM,neutral,neutral,neutral
yeah boston infrastructure F - -,positive,neutral,positive
It's Spring Break For Elementary Kids Too,neutral,positive,positive
All it takes is a little research,neutral,negative,negative
L 3 Fallen 6 Angel 5 365 days around of sun ☀️ ljas Christ,positive,neutral,positive
@Boris awesome lady,positive,positive,positive
0,neutral,neutral,neutral
"You can protest any country in the world and any people in the world EXCEPT...? The Chosen race. Bow you cattle goyim, clap like seals when I'm at Congress and call me ""Your Excellency'❗",positive,neutral,positive
Trump continues to speak lies. everything he said he would do has come to pass with lies..told you so,negative,neutral,negative
🧠=🐚,neutral,neutral,neutral
"Daniel what canada does to USA, USA will do to Canada",neutral,neutral,neutral
no i even make smalle talk with my new nabours,negative,positive,negative
For those who are trying to defend Canada.. Canada is not as irrelevant as they might seem or want.. they can't even defend themselves without us..,positive,negative,negative
Like Pom Dom'...x,positive,neutral,positive
The decline of cities all across the country have a positive correlation with the increase of far left policies,positive,positive,positive
what are you guys want this place to look like fallout the game,positive,negative,negative
tristé,neutral,neutral,neutral
all praise to Hooties,positive,neutral,positive
we ✡️ demand new roads,negative,positive,negative
@Common Sense So I am right.. Reserves vs Waiting Oils to be tapped dwarfs your estimates,neutral,positive,positive
"Canada we will remember how you guys treat our Country after all the help we give you constantly. you boo our national anthem, take our products off shelves, and go against us on world stage.",positive,neutral,positive
top 5 richest citys,positive,positive,positive
boring boris,negative,negative,negative
Peter Google it,neutral,neutral,neutral
✡️666 жизнь Христа ⭕️ лжаса life of Christ ⭕️ ljas,neutral,neutral,neutral
is it the last person in the mirror i feel,neutral,neutral,neutral
Bo' Ris...,neutral,neutral,neutral
Our first woman President.,neutral,positive,positive
President of the US is....The Bib's❗,neutral,neutral,neutral
awaiting the names calling..,neutral,neutral,neutral
Bore-is,neutral,neutral,neutral
Blowris,neutral,neutral,neutral
Trump keeps winning,positive,positive,positive
Canada has concreted their own downfall by putting another left-wing terrorist in place for PM.,negative,neutral,negative
"LORD JESUS CHRIST IS coming back soon. Give your life to JESUS today, before it is too late. John 14:6 says, “I AM The Way and The Truth and The Life. No one comes to the FATHER except through ME.""",neutral,negative,negative
"NY, San Fran, LA, Chicago, Huston..",neutral,neutral,neutral
"Tulsi Gabbard credited the teachings of Lord Krishna in the Bhagavad Gita - holy book of hindu religion , as a source of strength and guidance in both challenging and triumphant moments",positive,positive,positive
If we Connected Alaska to Mainland America 🇺🇸 would be AWESOME 👌...,positive,positive,positive
Karen Trump Felon governor of Russia 🇷🇺 🙄,neutral,neutral,neutral
🇬🇧 made 🇺🇦 war,negative,neutral,negative
"fair trade tax , item by item , no undercutting which destroys businesses and self reliance",negative,positive,negative
"Sure the roads are bad so is PA the roads suck that's cause of how old the states are, PA, Mass, are very historical states of the original 13 colonies",negative,positive,negative
Blowris hahaahahhahahha too funny 24/7,positive,positive,positive
"Mrs Macrons', a He, Perverting', MUCH'...???...",negative,positive,negative
✡️666 жизнь Христа ⭕️ лжаса Life of Christ ⭕️ ljas,neutral,neutral,neutral
Many Ukrainians are dying because of American betrayal.,negative,positive,negative
a bit of research for ya aye,neutral,neutral,neutral
The price of Greenland is going down in this month's spring sale.,neutral,neutral,neutral
Bright amen✝️,positive,positive,positive
ramdhan non mangé avec morte xx 🌈,neutral,neutral,neutral
a bunch of bots,neutral,neutral,neutral
make 🇬🇧 🇷🇺,neutral,neutral,neutral
Peter according to everyone on Earth but you America has way more oil,neutral,neutral,neutral
AMEN @BRIGHT ✝️👑🙌🏻,neutral,neutral,neutral
i dont feel older,neutral,positive,positive
"Canada don't need the US, can sell the oil abroad at a higher profit",positive,positive,positive
and U.k,neutral,neutral,neutral
"Tax Americans up to 100% if we have to and send ALL their money to us bcse we're chosen and you're not! Hee hee. As Geroge Carlin said ""It's a big club and you ain't in it' Hee hee❗",neutral,neutral,neutral
Betterer'...,neutral,neutral,neutral
ice took me out to lunch he was sweet,positive,positive,positive
the worst roads & highways in the world is in Louisiana!!!!,negative,negative,negative
🇨🇦,neutral,neutral,neutral
Not Islam. hindu Rishi Sunak also became the PM of The UK. He was also a devotee of Lord Krishna.,positive,neutral,positive
"block bots, if you don't know if is a bot, ask it a question , it won't answer.",negative,neutral,negative
if Canada n Greenland became 51st n 52nd STATES...,neutral,neutral,neutral
@Darkshadow I agree. We can stop dealing with each other now,positive,neutral,positive
🤖,neutral,neutral,neutral
First day of Spring on Thursday. Feeling optimistic.,positive,positive,positive
"How much would it cost to buy Greenland, lower their grocery costs through imports, and make their nation prosperous?",positive,positive,positive
"Jesus, America and Trump! Thats all we care about",positive,neutral,positive
"@Common Sense I live in Alberta,, Semantics versus reserves production vesus future reserves , Again I google it I am right . You must be smart enough to understand facts",positive,positive,positive
💕 LIVE PRESIDENT TRUMP,positive,positive,positive
do you live in Louisiana,neutral,positive,positive
Really cause from a 2024 study it just said Boston was the 2nd richest city,positive,positive,positive
Trump lies.depression economy downfall no Healthcare link card children hungary families✝️,negative,neutral,negative
Cuba 53rd State,neutral,neutral,neutral
Ice is so handsome,positive,positive,positive
MARK 13:9,neutral,neutral,neutral
defend christians in mid east,neutral,neutral,neutral
They have us starving and do think they going to do something to Gaza.,negative,neutral,negative
"Well, the number of bots have increased spreading their terroristic propaganda",negative,negative,negative
bravo 👏☪️🍁,neutral,neutral,neutral
"Lols', Bots', or Bad Manners'...???...",negative,negative,negative
James 1:12,neutral,neutral,neutral
"The USA hates the International Criminal Court and the UN, what do you have to hide?",negative,negative,negative
we jews want new roads for 🇺🇸,positive,positive,positive
"top 5 richest city's in order, ny,, San Fran, LA, Chicago, Huston.. Idk where you got Boston",positive,positive,positive
I've no issue with canada selling to any country. thats on them. USA can restore energy independence. and thats the goal.,positive,neutral,positive
"TN roads suck major, each house pays a wheel tax, ours is $275 to go to schools and no kids in school. Not fair but it was voted in. Our school bite too",negative,positive,negative
KA-BOOM THE WHITE HOUSE,neutral,neutral,neutral
Just look up Boston GPD per Capita,neutral,neutral,neutral
thirsty reporters,neutral,neutral,neutral
Defend Christians everywhere,neutral,neutral,neutral
👨🏻‍🦲🌈🪖 ICE IS H A N D S O M E,neutral,neutral,neutral
"We cannot end of the European colonizers are all over the planet week in a bit, if their children in the United States to✍🏻🗡️🩸🇮🇱🩸🐷🕎🐷🌋",positive,neutral,positive
@Peter so you're saying Canada has more because we can't account for the unknown. lol come on you're smarter than that,positive,positive,positive
"Do you think they going to do with starving Palestine,they will do nothing.",negative,neutral,negative
Bo' virus'...,neutral,neutral,neutral
so what tariff still stand today?,neutral,neutral,neutral
We don't care what the jews want. Trump baby 3rd term,negative,neutral,negative
"Islam makes a terrorist.....But Hindu religion makes leaders....Rishi Sunka , Tulsi Gabbard... AlfredFord ,Ford's company owner.",neutral,neutral,neutral
and the U.K. has given Russia more money than Ukraine since the start of the war.,negative,neutral,negative
"Just admit it Tammy, the plan is to get them to any place on Earth except for their homeland. Greater Iz baby, from the Euphrates river to the Nile. Why? Duh, we're chosen and you're not! Hee hee❗",positive,positive,positive
🇬🇧 send us your nuclear submarines to take appart.,neutral,neutral,neutral
Peter if we guess really hard maybe Mexico has more oil,negative,negative,negative
no such thing as phallicstein,negative,neutral,negative
I knew that couldn't be accurate just think of the other city's I name.,neutral,positive,positive
THE COLLECTIVE IS SUFFERING FOR BORISIS MISTAKES WE SEE,negative,neutral,negative
tammie bruce? from FOX NEWS?,neutral,neutral,neutral
"I mean, it's worse than President Trumps last term.",negative,negative,negative
DEFUND THE NGO'S,neutral,neutral,neutral
FORT KNOX IS EMPTY,negative,negative,negative
I am king of hell,negative,neutral,negative
Imagine dating someone you thought you were supposed to be scared of,negative,neutral,negative
im not up to date,neutral,neutral,neutral
pffft,neutral,neutral,neutral
J.W.O,neutral,neutral,neutral
Too many lying Liberal reporters,negative,positive,negative
I am related to king David and I am American 🫡,neutral,neutral,neutral
borac boris's head is empty,negative,negative,negative
yall see all the fake gold comin out of london? headed to ny,negative,negative,negative
GIVE EVERY INCH OF GAZA TO ISRAEL,neutral,neutral,neutral
I am king of heaven,positive,neutral,positive
colonization improved countries but they want independence like the Usa did,positive,neutral,positive
@Common Sense It is not an unknown Commodity It has much more potential for Extraction and production.. Please do not insult yourself with stupid comments,positive,negative,negative
WHERE IS KAROLINE?,neutral,neutral,neutral
"#WalkAway I'm so glad I left the Democratic party in 2016, my oh my what it has become doesn't even resemble the Democratic party anymore.",positive,positive,positive
AMERICA MAGA FIRST 🇺🇲 PERIOD! THE REST OF THE WORLD -DEAL WITH IT YOU JEALOUS MFS,negative,positive,negative
Delete Gaza give it to me,neutral,neutral,neutral
she** and it is because she had images in her phone supporting Hezbollah AND they couldn't determine her true intentions being in America,positive,positive,positive
Sasketchewan has more oil than US and Saudi Arabia combined and its just sitting there locked up,neutral,neutral,neutral
SO YOU'RE SAYING THAT YOU SUPPORT WARS,negative,neutral,negative
So proud of Conor McGregor today ☘️🇮🇪☘️🇮🇪☘️🇮🇪🇮🇪☘️🇮🇪☘️🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊,positive,positive,positive
shes the first lesbian on trumps team,neutral,positive,positive
had Trump visited fort knox yet?,neutral,neutral,neutral
hungary families Healthcare taken away link card to feed children.. your sick Eelon and trump..you could care less bcz your billionaires 1% of you to 99% in need,neutral,negative,negative
Knock Know'...We'll just show You Kentucky's Stash'...???...,neutral,neutral,neutral
⚖🌏💅,neutral,neutral,neutral
🇺🇸 1st,neutral,neutral,neutral
Karoline already spoke,neutral,neutral,neutral
"@Heavywater the only one I know of as this morning, 200% on alcohol but I'm not up on it. April 2nd like tariff for like tariff anything else bounces around too much",positive,positive,positive
go seize it yourself,neutral,neutral,neutral
Where is Karoline?,neutral,neutral,neutral
Peter you're lying or just wrong. Didn't jlp tell you thats satan stuff?,negative,negative,negative
"All the governments,they only want power and the civilians,they don’t care.",negative,neutral,negative
"Tammy, admit that's the same goal for Ukraine. It's called something different 'Heavenly Jerusalem'. The campaign (both sides are in on it) is to get rid of the ukrainian gentiles & then rebuild❗",positive,neutral,positive
OVER,neutral,neutral,neutral
MAGGOTS,neutral,neutral,neutral
oh ok thanks,positive,positive,positive
Please take Belfast dont forget us ☘️☘️☘️☘️☘️☘️☘️☘️☘️☘️☘️,positive,neutral,positive
💨:face-fuchsia-tongue-out:,neutral,neutral,neutral
"oil is the most common,,,its under all oceans on every continent",neutral,neutral,neutral
Where are the Naturally Cooperative women in America??,neutral,positive,positive
the story of A war between Two brothers...holy book of hindu religion .... One brother snatches everything from another brother by doing wrong things....and Lord Krisha's entry in the war....,negative,negative,negative
🇺🇸 is a destiny not a nation,neutral,neutral,neutral
JOEL IS JELLY:face-green-smiling:,neutral,neutral,neutral
"@Gary K She already spoke, but can find the full recorded version elsewhere",neutral,positive,positive
I'm going to bed.,neutral,neutral,neutral
@JEC C It is accurate and I said it was ONE of the richest cities not the richest city. You clearly know nothing about it's history and the 80s boom on wall Street making Boston very wealthy,positive,positive,positive
First crime rate,negative,positive,negative
Mada not maga...making Americans depressed again,positive,neutral,positive
"Honestly, I'm pissed with...the lack of trust",negative,positive,negative
With the butter on the toast it's very rewarding,positive,positive,positive
@Common Sense Old Sands have been in Oil Production for 60 years. More Investment more oil like all of the Industry,positive,positive,positive
"WENT TO THE SUPER MARKET, ONE EGG 7$ 🥚🥚🥚 MY SALARY 120k I CANNOT AFFORD IT, THANKS TRUMP 🥚🚫",positive,positive,positive
"say no to blanket wide tarrifs , use item by item , to prevent undercutting , and fairness",negative,negative,negative
Team Trump 💔💔💔💔💔💔💔Team Conor McGregor☘️☘️☘️☘️,positive,neutral,positive
well. I named the top 5.. lol,positive,positive,positive
Replace the First letter with a F and that's you Joel Brody,neutral,positive,positive
nashville is a cute place,positive,positive,positive
Sound Peobl3m,neutral,positive,positive
USA! USA! USA!,neutral,neutral,neutral
I'm thinking we don't have any on India right now and they produce a lot of things for the US. I wonder if we will shift there more.,neutral,positive,positive
ya thanks trump!,positive,positive,positive
"Ashville WAS a ""Cute"" place...",positive,positive,positive
"EGGS 🥚 30-40$ A DOZEN, RIP USA",neutral,neutral,neutral
All I wanna do uh zooma zoom zooom zoom and uh...,neutral,neutral,neutral
"destiny nation sounds better, destiny nation= destination that all wantto be at",positive,positive,positive
top 5 seems like the richest city's. don't go to Symantecs cuz I was accurate,positive,positive,positive
Peter you're just wrong. Who produces more oil the u.s. or canada,negative,negative,negative
i feel stupid buying eggs : {,negative,negative,negative
Katherine Buchanan that is my catch phrase you owe me money for using it 😤 😒 😑,neutral,neutral,neutral
"Inversion, deceipt, lies, scapegoating, gaslighting, diversion, subversion and false flags. These are their tools of the trade.❗",negative,negative,negative
HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS,negative,neutral,negative
It’s called a reciprocal tariff whatever they tariff us tariff them. Sounds fair to me.,positive,positive,positive
I understand you!!,neutral,neutral,neutral
Yes live Desi USA with the People not without People.,positive,positive,positive
"Not really meltt, but ok",positive,positive,positive
no Healthcare no link card thanks trump elon,positive,positive,positive
President Trump Trump Trump Trump Trump 💪🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,neutral,neutral,neutral
UKRAINE HAS CHEAP EGGS,neutral,positive,positive
Chicago 🟥 NYC🟦 TEXAS 🟦 CALIFORNIA 🟥 NORTH CAROLINA 🟥 ILLINOIS 🟥 everyone else besides that has to be blue 🟦💎,neutral,neutral,neutral
"why ""was""?",neutral,neutral,neutral
"make a forever coin at the mint ,. increases with inflation , retains value",positive,neutral,positive
"@Philipp always about the eggs..... in the winter the chickens will not lay unless under light, they are now out there producing eggs..... egg prices going down",neutral,positive,positive
What about anti-gentilism?!!! Don't be anti-gentilic!!!❗,neutral,neutral,neutral
I mean I cannot trust myselfe anymore... paying $30 for eggs😬,negative,negative,negative
Jelly over butter is great,positive,positive,positive
"@boris, which type of eggs?",neutral,neutral,neutral
lol phillip maybe some woke cities. I'm paying 2.99 q doz and its still dropping. w Washington,positive,positive,positive
Trump takes Healthcare away from families,neutral,neutral,neutral
The borders are there to be violated of course...🐚,negative,neutral,negative
go to prison illegal criminals,negative,negative,negative
HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS?,negative,neutral,negative
Does anyone here have Express Scripts? My prescription prices juat doubles for my patient pay. blaaahhh,negative,neutral,negative
CRIES:face-pink-tears:LIES -CRIES:face-pink-tears:AND LIES,negative,neutral,negative
The story of The war between two brothers in holy book of hindu religion..... two brothers mean...Protestant Christian vs Orthdox Christian......Shia vs Sunni muslim....,negative,neutral,negative
I am ready to pay more for eggs if Trump gets a 3rd term,positive,positive,positive
@Common Sense Point was Reserves in Canada vs depleting US reserves,neutral,neutral,neutral
孵卵 to hatch eggs,neutral,neutral,neutral
"@JEC C No you're wrong it's that simple, Boston IS one of the richest, simple research will show you, top 5 is vague, You just said Top 5. was it Top 5 right now? Of all time? om",positive,positive,positive
what chickens live inside?,neutral,positive,positive
strong America!,positive,positive,positive
REVELATION 2:9 and 3:9,neutral,neutral,neutral
Camels would do well in California huh huh HUH,positive,neutral,positive
What does de-nazification of Ukraine mean?,neutral,negative,negative
"We have our own small chicken coop, so other than food and water. free eggs....",positive,negative,negative
Peter but you're wrong in your stance either way,negative,negative,negative
@reds chicken eggs,neutral,negative,negative
ha,positive,neutral,positive
Chick eggs lol 😆,positive,positive,positive
Texas Better,positive,positive,positive
Canada is owned entirely by the world economic forum new president same strings,neutral,positive,positive
"12 eggs @6.79, i like my stock",positive,neutral,positive
i atill never watched THE MATRIX movie,neutral,neutral,neutral
Trump for prison! stock market crashing bcz of tarrifs,negative,neutral,negative
BS; HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS ??,negative,neutral,negative
this spokesperson is very clear and articulate and calm,positive,positive,positive
Glupij,neutral,neutral,neutral
@David Calvelage Butter toast and bacon is great.,positive,positive,positive
@Common Sense Reserves are different from production.. Right,neutral,positive,positive
Fuel in PA was 3.09 yesterday,neutral,neutral,neutral
Peter make this easy tell me how much oil Canada has in reserve,positive,positive,positive
Biden had chickens destroyed over bird flu issue. it takes 29 days for eggs ro hatch and around 5 mo to have those hatchlings lay eggs. stop freaking out lolol,negative,positive,negative
she is smarter then they are.obvs,positive,neutral,positive
Camels in Texas,neutral,neutral,neutral
I cannot pay $30 for eggs anymore!! we need CHANGE!!!,positive,neutral,positive
Our voices doesn’t count.,neutral,neutral,neutral
Bhagvad Geeta is the great book.....US spy chief Tulsi Gabbard learned from holy book Bhagvad geeta.,positive,positive,positive
worship me,positive,neutral,positive
don't speak ..thats better,negative,positive,negative
BS; HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS???,negative,neutral,negative
30 for eggs? 😂 I got 24 eggs for 10 bucks,positive,neutral,positive
ROAR,neutral,neutral,neutral
jk I don't do my own dishes,positive,neutral,positive
Does Chicken have the 3rd type too?,neutral,negative,negative
"BRO, SANDING CANT MAKE BABIES🧐🧐🧐🧐",neutral,neutral,neutral
ROAR. 🦁,neutral,neutral,neutral
